,Speech,Product
3086,good one nice see missingthe views epressed channel subscribe views author,NAG
3087,congress rahul sonia kejrewal mamtha banerjee people talking ones tons black money k,OAG
3088,fkr u cant say something good atleast try shut ur fkn mouth,OAG
3089,didnt gandhi say eye eye think ppl pak respect gandhi indiasome thing wrong picture,NAG
3090,students crossing limits students name free epression speech dont hesitate ignore national interest tools hands leftists unscrupulous vested interest politicians even terrorists call students give name,OAG
3091,cows life valuable humans langot cm state,CAG
3092,sri lanka eradicate group like littewhy india destroy naaliesenough enoughit time total eradication frm beautiful nation,CAG
3093,view rbl bank buy current level,NAG
3094,despite best efforts mayawati maya jaal ineffective spcongress alliance supreme,OAG
3095,see face shining india incident pm ministers attention,CAG
3096,farmers dying maharashtra silent tell bjp hai,CAG
3097,rain industries green even market red,NAG
3098,talking indra gandhi takes action  like demonetization modi ji  value  rupees  rupees nd time  population get effected  population r suffering take brainless measure rnot required time dont say anything rubbish without knowing bjp always spread fake news sry grammatical mistake,OAG
3099,sir middle class businessman middle class family ke liye bhi soche supported heart soul people loosing hope u u looking towards corporates farmers bpl people bout middle class families,NAG
3100,kindly update live status alanganallur tamilnadu siryoungsters people r protesting peacefully jallikkattu continuously dan  hrs without foodd police thr tamilnadu government havent providedany fud medical facilities people ovr thrpeople went help dem fud medical facilities r stopped police dey r planning huge strike ovr people r protesting jallikkattumedia people like u spread along sirv r fighting rightspeople country realize wats eactly happening anything happens people protesting thr im sure l b hidden avoid problemskindly help sirpls,CAG
3101,secularism word used fascists nonsense like word connected hatred derogatory word founded used looters marauders crusaders corrupt slave people bharat itz culture say vasudeva kutumbakam,CAG
3102,henot single temple eits kashmiru people destroyed temple name islamfor ur kind information  muslim family villageand contributed build mosque,OAG
3103,saffron color onlyif county lover shld b painted tricolour flagshows polarized thinking,CAG
3104,india start striking back twitter haha bring antony back position people incapable etremist nature surely man action words like people  inch  surgical strike like end pakistan haha good publicity,CAG
3105,india poor country costly entertainment required ipl enough one,CAG
3106,last  years people done ls speaking nothing else,CAG
3107,absolutely true,NAG
3108,nice see ceo google mr sundar pitchai remarkable journeyits good move google keep indian ceo india huge market,NAG
3109,whether service ta levied banks petrol pos machines removed,NAG
3110,hello wokhardt hosp dengue cured nicely within  dates ecept one dr bhagwati every one good,NAG
3111,bog troubleloldo research first,CAG
3112,dear visit lower assam west bengal amroha states realise islam sunnism world around,CAG
3113,sort concert isnt launch event sport tourer feels much like funeral,OAG
3114,hatred always mentioning religion comment #subhrangshu,CAG
3115,proper dose anything good overdose harmful playing national anthem middle game also insult shows patriotism nullifies purpose respect national anthem many people may know full version meaning,CAG
3116,ccd issue price gr deal,NAG
3117,akshay gupta pulkit jain viraj shah deepanshu anand shilpa agrawal piyush jain since talking earlier,NAG
3118,eactly eactly,CAG
3119,ur joining might hv made app rightso u r wrong ur decision,CAG
3120,sena rss disappeared congress back powers,OAG
3121,supporting govt lets see want output waiting,CAG
3122,fi rubbish china,OAG
3123,brave lady learn lot life rip,NAG
3124,psu banks net weekrate cut  ,NAG
3125,join bjp imandar party,CAG
3126,doubt todays budget says ta rate  lacs  says would ta income upto  lacs possible idea,NAG
3127,idiots,OAG
3128,indian epress k alawa dusre media wale bhi hai bhai #samkhan,NAG
3129,go guys bigger bjp gets lol,CAG
3130,comments reveal kind persons,CAG
3131,sir congress corrupt ok understand bjpministersmark also officers ur various department state level central levelpls address also,CAG
3132,anna jihibernating cursing arvind kejriwal,OAG
3133,muhammad saqib nawaz saki ur ecepting u voilate ceasefire also answer given u u need ur army,NAG
3134,dont know feels really fact takes back son might harrased policeetc,CAG
3135,nice illumination nothing nice morality everything,NAG
3136,kaasmir innocnt people killed indian army pak army killed indian army,OAG
3137,prashant singh say abt genocide dravids n casteism millenia,CAG
3138,say guys https mfacebookcom storyphpstory_fbidsubstory_indeid,CAG
3139,think fenced loc heavey patrolling creepy mines surveillance radars drones importantly mutilated soliders seems something mind one thing u remember army could kind always respect enemy,CAG
3140,good comedy show,NAG
3141,happenedwe full sympathy sunil groverbut showing much attitude one thing must noticedkapil sharma given full opportunities showmr gulati got much much time stagecredit must given mr kapil give full chances present sunil talentnow sunil thinks god showthat bad whatever kapil done wrongbut whatever sunil behaving bad,NAG
3142,launching bike thronging princem,CAG
3143,hi anuj please share view ufo movies release bahubali big trigger company,NAG
3144,eagerly waiting st dec  modiji want big announcements unearth black money stashed properties benami properties money stashed abroad looking bright future generations come black money corruption etinct,CAG
3145,idiot cant get money bank,CAG
3146,honest pm allow dishonest men loot echequer  manmohan responded charge weak pm dynastys doormat giving back lk advani fridays  january  press conference confronted public perception stewardship india disastrous lashed narendra modi instead http owly cglhb,OAG
3147,kcr marketed bill hike reservations move based economic criteria claiming nothing religion caste kcr understand reservation poverty alleviation scheme social groups historically eploited marginalized rendered weaker muslims wanted window within obcs supreme court says create subwindow within obcs without breaching  barrier basis religion,CAG
3148,dear thank supportkindly note latest event fia washington dcwith trust dr monica dorhoichair world bank imf staff meditation clubin washington dc updated meditation club meets fdration internationale de lautomobile fia foundation monday january  just updated thank inviting us fdration internationale de lautomobile fia foundation monday january  dr dorhoi attended monday january   fdration internationale de lautomobile fia foundation reception marriott marquis washington dc previously worked  years financing road rehabilitation worldwide dr dorhoi also works financing managing risk formula  racing part different financing requirementsthank fdration internationale de lautomobile fia foundation preparing publicizing progress made implementation goals set united nations road safety  report prepared world health organizationat event book goals change partners action annual report  fdration internationale de lautomobile fia foundation also featuredthe report enthusiastically embraces un decade action road safety un sustainable development goals eact energy goals development translated global fuel economy initiative foundation helping governments develop global regional programs find evidence effectiveness national city level bring donors support national policies initiativesin united states  traffic related deaths reduced last years  united nations millennium goals relation road safety reduce deaths due traffic  compared todays numberfor dr dorhoi connection fdration internationale de lautomobile fia foundation blessed long time dedication causes ayrton senna fdration internationale de lautomobile fia organizer formula  racing championships ms dorhoi american living washington dc last  years huge supporter  decades dr dorhoi one greatest fans much beloved formula  racing driver ayrton senna deceased  san marino tragedy truly marked undeniable waydr dorhoi also grateful alan prost france williams renault sportsmanship loss driver ayrton senna additional information updated press release disclosed event venue statement posted https mdorhoiwordpresscom    themeditationclubmeetswithfederationinternationaledelautomobilefiafoundationonmondayjanuary,NAG
3149,parties come together resist evil force bjpi waiting day party rule india ban rss terrorist groups like rss,OAG
3150,undermine donot bigger pic understood wait concluding,NAG
3151,muslim person installed hindus god houseu habit seeing congress others believed appeasement ur communityshameful,OAG
3152,thank god gone really dumb fellow know change rules according conditionshe like working indian interests,OAG
3153,advertisement even powerful mr feku,CAG
3154,mhcb mental health care bill many lacune govt passed bill without hearing indian psychiatric society,NAG
3155,number people purchased share octant interactive technologies ltd transferd five finance please intimate detail comens,NAG
3156,,CAG
3157,joining bjp bigger mistake helped campaigning bjp,NAG
3158,nonphysical banking transactions option general public specially country like india,NAG
3159,done great making country proud much people companies give much money cant give poor people country die hungerso much poor people country dont people company also donate,NAG
3160,like devil think tha hell,OAG
3161,invest indian sports sections n make medalist net game,NAG
3162,dude precisedhard work right directionotherwise deteriorates developing psychosis #fact,NAG
3163,die sir best wishes,NAG
3164,khumtu sanchong live moon india police work without media pressure good media given wide publicity crime media pressure forced district administration punish warden,CAG
3165,typical south indian suffer superiority comple call highly literate,OAG
3166,bother muslim women wont worry hindu women,CAG
3167,adrija bose days like miss day work,NAG
3168,oh thats great show world much respect china begets n korea,NAG
3169,even tamilnadu reservation prescribed,CAG
3170,ahmed razeen eactly talking kejrijoker clever seriously called cunning kejrijoker made personal comments others delhi people paying price crores hosted vip dinners aap supporters,OAG
3171,serious matter azaan wake #muslimsmasques empty fajr prayer,CAG
3172,short term target jindal steel power,NAG
3173,oknew definition developmentakshay kumar give sensible reason applauding mann ki baat otherwise eyeing rs seat award,CAG
3174,mockery prize emotions attached,CAG
3175,mrmanmohan singh flight mode vibrator mode,NAG
3176,im class  student want ask governmentwhat hell happening,CAG
3177,  overs runrate around  kkr always going win itplus   overs like chasing target ,NAG
3178,          cocacolamaggifantagarnierravlonlorialhuggiespamparsmamypokolibrolevisnokiamacdownaldscalvin clinkit katspritenestlepepsikfc aap ke jitne bhi group ho us pe send kar na plz     plz plz plz plz plz forward thissirf  min lagega,CAG
3179,take religionism states please,CAG
3180,give lakhs starving hunger nd poverty instead overfeeding ones,NAG
3181,remembering media political parties thing modi chosen pm nominate bjp today know best thing happened country modi getting similar feeling yogi,CAG
3182,also try stop violence communists,CAG
3183,whether countries officially secular dont respect religions,NAG
3184,awesome idea eposure kids power,NAG
3185,kuldeep munshi ji partly right agree rats consumed panun kashmiri brothers also left secret signal jugmohan jinow lament past let us find peaceful ways join heartskashmir paradise pandit brothers return,OAG
3186,clarifying data released government right,CAG
3187,want ask one qestionwhy b working labor coal mines india,NAG
3188,gambhir uvi sehvag rohit better anjikya dhawan lokesh pujara jadav seems potential player days respect everyone body knows game god plays,CAG
3189,icon undoubtedly etched large space hearts people till eternity,NAG
3190,surgical strike informal sector paving path corporates shadow jiongoism,CAG
3191,agree nitin narang please punish bankers qho supported pilingup new currency notes,CAG
3192,one rss terrorist hindutiva terrorist gow rakshak terrorist vhp terrorist decide,OAG
3193,vinit sharma lot complaints may much affected demonetisation,CAG
3194,rss guy,CAG
3195,kulgam attack bank employeeswere killed crpf men hizb militant outfit hizbul mujhadeen hasclaimed responsibility deadlykulgam attack  police menand  bank employees killed burhanuddin operationalspokesperson hizbul mujhadeen toldnews agency militants didnt killthe two bank employees theywere shot dead crpf personnelwho accompanying didnt attack vehicle withintent loot cash haveenough cash condemn killingof two bank employees want toclarify shot dead bycrpf personnel militants burhanuddin said adding thatmilitants never target innocentkashmiris,CAG
3196,shirish kunders tweet may come reply chetan bhagats statement,NAG
3197,shabana azmi voice opinion hinduism secular sonu nigam makes point islam becomes less secularwaiting secular liberal brigade run shop,OAG
3198,everyone right share opinion,CAG
3199,done law also,NAG
3200,hitler good germany like modi good india,CAG
3201,thats good oneno postmortemotherwisepeople come mainstream,CAG
3202,cpim numbers get elected west bengal left  mlas need  get elected friend congress  mlas reason stepping asidenot protocol policy party simple,NAG
3203,appreciable,CAG
3204,go ahead mr modi jai hind,NAG
3205,anna us sick shyld get well,CAG
3206,maroof ahmed khansaraswati originated brahma daughter,CAG
3207,hope dynamic cm take adequate action hospital,CAG
3208,oh got lot penguin pinned capgemini india,NAG
3209,dear pm hope youll achieve samebut youre going fast epect deliver well,CAG
3210,last  yrs american destroyed earth money power killed lacs peoples name american glory stupid trump,OAG
3211,places india attained unprecedented peacewhat want,CAG
3212,know,NAG
3213,nothing wrong right way look geomentry brain reorientation neil recommended fi brain virus,NAG
3214,muhmmad marrying  year old ayesha sons wife immoral,OAG
3215,respect mam politics jungle rule treat animals u dont ask respecting women duty officer forced,OAG
3216,sense would indeed touch  in opinion brink global collapse cyclical recession time period global events eacerbate recession imfs foreign reserve basket adds chinese yuan fore basket reducing euros contribution basket considerable + euro considerable depreciate breit british voters actually vote britain leave eu us elections uncertainty crude oil glut china debttoequity conversion shemitah year a major global sell happened  october  sunday  october  monday witness global sell global markets correct ecess + targets range  prices rupeessense nifty bank niftyicici bank sbi google shemitah year  headed biggest blobal recession yetyou opportunities either become rich become poor sit cash dont buy anything right nowuntil reach targets sit cashwelcome shemitah year either become rich become etremely poor choice market already dropped much  gains wiped negative,NAG
3217,cant even epect much better blind followers,CAG
3218,able compete run business crying foul,NAG
3219,think rightgundagardi name religion stopped,OAG
3220,lol u r already rss man hide,CAG
3221,misplaced priority took cowardice salaafi version jehadi,CAG
3222,rajkumar come abuses like clockwork yes right wingers anyday wed rather traitorous left wingers frankly left wing terrorists bigger threat india even islamic terrorists certainly fringe right wing groups woefully unorganized uselesshttps swarajyamagcom politics urbannaalismstrategyandmodusoperandipart,CAG
3223,much better porota,NAG
3224,maulana sahib please dont give name shariyat islam foolish practices central govt bans triple talaq muslims triple talaq islamic practice keep mouth shut,OAG
3225,true ibn ishag quaran fight evryone way alla n kill disbelieve alla,OAG
3226,running losses since start still want investors invest venture doubt even coming three years report profit loss,NAG
3227,follow prophets footsteps need eplain,CAG
3228,big lie sign coward act indian government insulting soldiers saying bodies mutilated never done history indupak fights,OAG
3229,frustrated illiterate gullible idiot working cross purposes stated aimsno one ever bothered iachis media value today ability criticise aap,OAG
3230,much paper work getting loan,NAG
3231,problem indians kaddi ninda comes action shut either busy pleasing western states afraid china dont understand spending billions defence cant protect men shame,NAG
3232,right step taken bad activities going time change,NAG
3233,actually spoken sound pollutionirrespective religionmedia creates hype masala using one particular religionotherwise run news,CAG
3234,solidarity march thats political opportunist useless,OAG
3235,happened reaction quran safer human,NAG
3236,guessing  upmove reliance tomorrow whats view,NAG
3237,comments hindus hate muslims muslims one peacefull communities india didnt allow alqaeda isis set foot india condemn type violence muslims outside india yes handfull isis sympathisers acting like lone wolf bring bad name muslims muslims condemn act shot hanged patriots love india country days hindus dont trust us discriminate us tell us go pakistan type attitude hindus harm social harmony create unrest country,OAG
3238,yes riya biswas finding poltics delhi done danga kolkatta orissa looking keralabut dont know everywhere trying terrrorist activities getting tight slap state cmrespect kejriwal mamta banerjee kcr lalu prasad yadav kerala cm tamils bjd party orissa,OAG
3239,felicitate congress mlas elections may get another chance,CAG
3240,journalism lowest thank indian epress,NAG
3241,rss agent anna,CAG
3242,idiotlogegy,CAG
3243,shamefull come illiterate person give advice welqualified person like kejriwalji,OAG
3244,third class news paper like indian epress print nonsense uttered idiot,OAG
3245,great please remove rahul make person congress head,NAG
3246,u know gau mutra much u must tried urself coz interested body making mind much ever brain thats enough people like u much good comments zakir owasie freedom speech,CAG
3247,bought edelweiss  stay invested book profit,NAG
3248,one tell brothertell tell never mind dont eited bro,NAG
3249,demonitisation like medicine might taste sour us show effect slowly steadily,CAG
3250,guess suprise us launch would happen net year trailer,CAG
3251,thanks mr ranjan rakesh sasi tharoor proving another socalled pseuointellectual another human slave robot nothing special,OAG
3252,whats wrong giving suggestions opened websits bharat ke veer nice positive suggestion whats wrong dont think goes around saying great deshbhakt something,CAG
3253,love sonia entire gang however miss mitalli mukherjee well specially bull run,NAG
3254,love pizzasss jubilant food  waz consilidation later broked rallied,NAG
3255,akhlaq,CAG
3256,rose kln know dear agree always say reduce decibel point loud speakers mosques  use loud speaker hate way showed hypocrisy fav singer long time way targeted us said others dont anything like thing,CAG
3257,pr gimmick responding every victim triple talaq pretentiousness sickening,CAG
3258,made russia painted india,CAG
3259,modi care soo deeply lady comes triple talaq india single word comes modis mouth comes ladies getting raped india daily basis must hidden agenda,CAG
3260,ride like india dongri cc banao,CAG
3261,time anti national eposed people supporting black money hoarder face action soonthank modi ji clear picture emerging,CAG
3262,technically level nifty bear market come think  lets watch,NAG
3263,requires model comfort cruiser please reveal mileage,NAG
3264,look like,NAG
3265,want strong action pakistan resign coward pm modi dm arun jately,OAG
3266,irresponsible leader,OAG
3267,dont want oil  junk bund oil companies rallying like crude reach though bond overreact,NAG
3268,anna go hell,OAG
3269,good decision pakistan soon pakistan good bye saarc sha allahno relations india level good pakistan india enemy ever show mercy indiabecause india killer kashmiri generations,NAG
3270,wht bjp say behaviour goon mla bjp silent shows bjps double standard n hypocrisy different fm sp bsp rjd politiciansthis party many criminals n antisocial elementsbut bjp wants hide sins carpet n busy blaming otherswho authorised bjp goon misbehave lady ips officer performing dutydoes bjp courage suspend n epel mla fm party n case filed agnst oer law,OAG
3271,want trump win election coz bear,NAG
3272,willfull defaulter,NAG
3273,idiots playing sentiments av lost ground kv diverting making space aap thats bate foolish people dont fall use mind kashmir remain us one pic one video change situation getting ready take baluchistan mind set take pak giving anymore,OAG
3274,direct information bajaj bike launch event,CAG
3275,half much money invested player olympics get many medalsindia huge country reason cant win medals top five better infrastructure sports,NAG
3276,ppl dnt understand thngsthy blame pmthy want chnge chngegood job sirsalute,CAG
3277,guy shamed udf aadhar launched everything approimate anyone estimate limitproven data talks numbers speeches income ta still squeezed middle classprices fuel essential commodity high,CAG
3278,  villages electrified post pms speech independence day ,NAG
3279,arunthukral long term investor best defense sector stock buy hold,NAG
3280, lot short sell ultratec cemnt  rate shoud,NAG
3281,http indianepresscom article india fatwaissuedagainstrealitysingingstarnahidafrinbyclerics dear indian epress feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists dont even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed  men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa epect apology side mistake,OAG
3282,new namepulsar cc better pulsar hit model name toodefinitely male tagline superb better new tagline fastest indian dominar much punching pulsar anyways good luck nb easy n good idea competition mighty royal enfield p,NAG
3283,though iitians talented people leave country get want base family india hence spite spending part income earn save remit india remittances serve great purpose balancing current account deficit country hence though arent contributing directly beginning careers benefit families indirectly country reverse brain drain phenomenon widespread today lot talented people left country could find right environment country nurture interest talent nowadays lot return back distinctions recognised throughout world contributing helping set atmosphere future people need go abroad,CAG
3284,iyogi employees need justice employees even people higher management paid  monthsthere people even feel commit suicide broke,NAG
3285,grandson akshit kumar paytm id  transfered rs deepika kapoor paytm id  tr id  notreached destination even afterdays refunded,NAG
3286,indian politics doesnt enough courage never beat pakistan,CAG
3287,consuming almonds glass milk help improve memory power,NAG
3288,shame havent taken action yet still wait things happenkill,OAG
3289,ss rajamouli sirs imagination n creativity gv good competition spielbergfor sure,NAG
3290,black money r u naming n shaming ppl whose money found,CAG
3291,yes rss secularism ad u communist secular like destroying indiamaking antinational agenda,CAG
3292,reacting reward etra penny think invest amount training get medals net time,NAG
3293,step towards modern india happy part icici group,NAG
3294,great lady could speak  major south indian languages well fluent hindi english heard could even speak french spanish may soul rest peace,NAG
3295,work make men nonsense society,CAG
3296,anyone deposit   jandhan account think enough black money govt demona true bpl card holder,NAG
3297,lupin corporate social resposibility restricted states rajasthan madhya pradesh maharashtra uttarakhandbut make business india,NAG
3298,dalit guess high time remove reservation,CAG
3299,bjp win bihar  election,CAG
3300,always brahmin work noble cause true live eample,NAG
3301,market going trigger upside leftdemonitazion casualties,NAG
3302,shirish kunderas ppl knows n listen himbolo jai shree ram,CAG
3303,sold eclusively nearby florists shop,NAG
3304,proof reading guy must asked bribe refused #fucktheworld,CAG
3305,dont know basis people comparing dawood like yogi politics years need qualifications something dawood nothing cbi dumb people swear first vote cry,NAG
3306,want  bt player selected shake tail front ko kohili,OAG
3307,seeing age grandmom go bank im hoping praying people would let go ahead,NAG
3308,maybe trumps eecutive order isnt quite islamophobic liberal media would believe https wwwwhypscom aboutus,CAG
3309,conspiracy suspendedshould waited investigation,NAG
3310,pakistan made islamic radicals many trying create another pakistan india,CAG
3311,bus race pollachi coimbatore route tamilnadu,NAG
3312,go back sleeep,NAG
3313,rajnath singh plz submit resignation cant handle situation please,NAG
3314,rajnath say modi go nawab birthday know,NAG
3315,come bajaj theres bike launched cut trash,CAG
3316,people tamilnadu sort inferiority comple really dont know servile,CAG
3317,song releted love sadnesss use launch,NAG
3318,need cleaning floor multi purpose gown,NAG
3319,factually accept masters also slaveslolz,OAG
3320,photographer hired marriage demanding rs cash complain,CAG
3321,sir due respect want convey doubts trading community mere verbal assurances postmortems concerned authorities work pl see eample corruption black sheeps banking sector issuance new notes,CAG
3322,hizib claimed responsibility said bank employees shot dead crpf bloody cowards,CAG
3323,enough,NAG
3324,see non biased non prejudiced journalist solely dedicated reporting facts keep,NAG
3325,wont surprised  wud prove historic indian films #oscars bahubali indeed truly international project every material win oscars best foreign film,NAG
3326,tremendous respect indian industry mukesh ambani,NAG
3327, million guess coz even buckingham palace isnt epensive,NAG
3328,views rane brakescan hold months,NAG
3329,industry work wants public attention issues like common days get back action,CAG
3330,dept psychiatry corruption bounded field ask health professional would like unhide fact,NAG
3331,better ask pm modi becoming pm talking big things destroying pakistan keeping quite,CAG
3332,would say british still ruled annihilated indians build great nation cnbc would done documentary showing great progress british empire interviewing brits neglecting suffering indian ghetto may port blair remember got freedom  odd years back would one regard father nation proud tv  network alive today,NAG
3333,inspiration india  country leadership salute n respect bottom heart,NAG
3334,incredible india poor humans country wear skin nd horns cattle get safety food shelter incredible india,CAG
3335,kerala best india u dont know ask somebody knows kerala browse internet dnt b sooo smart mr,NAG
3336,india better bjps hands sad kerala hands since many murders taking place land,OAG
3337,use watch times seems biased fun watching channel gone,NAG
3338,wee angelino itunes amazon google video youtube mascot,NAG
3339,anyone give importance tweets wonder people come kinds trash ignore heavens sake,CAG
3340, days crore inde option buying fiis buying hedging againts something big come januarry,NAG
3341,calling erodgan sir calling modi feku true colors fundamentalist muslim must net isis member go syria fight india,CAG
3342,moreover idiot fan terrorist yakub menon,OAG
3343,srk right slapping deserves slaps,OAG
3344,stupid really airtel gives faster access lot many sites jio selective talk net neutrality airtel akela ethical jio newbie internet users whose usage whatsapp maybe facebook app jio workplaces suck airtel best bet,OAG
3345,dont misguid nations tell truth mr yellow journalist,CAG
3346,arrogance shivsena,CAG
3347,india #scrapinduswaterstreatyindus water treaty illegalthe case  indus waters treaty signed prime minister jawaharlal nehru nowhere declared said agreement treaty signed name president india according ministry eternal affairs documents nowhere disclosed agreement signed jawaharlal nehru president india according impugned agreement  water goes pakistan serious injury fundamental right citizens india coupled financial natural injuries national interestif indians keep quit today future generations blame us never going forgive usindia need like china fast furious must ability say facechina claim south china sea china made develop  artificial man made islands south china sea quickly cant india stop water states union territories indiawe need build dam indus river must icchashakti say one sentence world bank fck india scraping indus waters treatyif china mother land india india cannot serious problem indian government system political partys also useless politicianwho know bark cannot take actionhttp siteresourcesworldbankorg intsouthasia resources  induswaterstreatypdf,CAG
3348,rumi vp frankly saying given verdict sc pakistanhanging orders given military court icj control military courts kind information,NAG
3349,good lets welcome new entrants since times changing indian company,NAG
3350,main issue jio network data speed compare tele brand company,OAG
3351, simple congress ceo bjp ceo  mistry followers rathan followers  mistry ideas tet book ideas tata  interest investorsconsumers interest master cook  egg comes first chicken comes first television mega serial,NAG
3352,look ur face looser,OAG
3353,#thats_great,NAG
3354,people complaining long queues outside atmsw realising bigger picturethe people happy stand queues reliance jio simlol,CAG
3355,pakistan ke log marte ha marne de gussa itna aata bjp kya pani puri kha rhi ha modi ji apne leader gungan kre ge,CAG
3356,news aor try panic people,CAG
3357,u cant get one,CAG
3358,stupidity shown narendra modi want prove make money white  month,OAG
3359,didnt tryhe elections,CAG
3360,good news country traitor like cpm enough harm wb india,NAG
3361,yadav hang aapproved military courtmilitary court always use military personalyadav military manits always universal world new,CAG
3362,saw bahubali  nice movie,NAG
3363,dhoni even international event dont bark dogs problem sports management,NAG
3364,rahul gandhi bjp,CAG
3365,oh god,NAG
3366,hcl info tgt  till st week jan,NAG
3367,hahahha icj also said india couldnt satisfy merit case complete desicion comes jadav live days,OAG
3368,cut crap show bike hope results wont boring event,OAG
3369,whats wrong audis audi drivers,NAG
3370,wonder given sound bytes must try give publicity husband considered role model,OAG
3371,every one shd ignore think trying popularity,OAG
3372,india trying miss lead international community regarding loc cross firing,CAG
3373,good buys among public sector banks apart sbi,NAG
3374,seriously dont want movies like kick ek tiger,CAG
3375,good rather treated criminals,OAG
3376,awwww congratulations lovely couple definitely dream come true two,NAG
3377,good pm let corrupted leaders bark keep word seeing new hope,CAG
3378,please advice bank nifty npa benefit psu banks,NAG
3379,dear salute mrnarendra modi sir words witch promise election black money non ta able amount banned proved daring real horn able pm mr narendra modi sir also hope ecept one vont ecept horn able pm mr narendra modi sir,NAG
3380,still waiting rahul gandhis grand epose pm speaking parliament speech like,CAG
3381,indian epress better use burnol,CAG
3382,unfollow unlike indian epress always spreads negativity dont let get followers attention towards posts,OAG
3383,yes u r rit people like u always pull legs,CAG
3384,koi nai modi ji rehne bss ab aap se nahi ho payega bss ab ek yhi kaam rh gya hai ki ek celebrity doond lo jo unke baccho ka epence utha paye hope aage kisi politician ki himmt ho jo apni aulaad ko shaheed hone pr fakrr kre pakistaan ki iss karyavaahi pr kadi ninda kre,CAG
3385,cinema took around character wisely nd roudram,NAG
3386,repulican took seriously one really supported still made,NAG
3387,like mujahideens surgical strike daily kashmiri girls nightnow tell many girlfriend burhan wani holy fighting jehad making girlfriends se,OAG
3388,pravin sivan banned since last years visa type buggers though banned paper e officially,OAG
3389,get wring information pm teresa may states breit breit going ahead wish british people usa election rigged crooked whike world knows even egyptian tv states rigged,NAG
3390,ever innocent killing terrorism find name saudi arabia middle east countries kept countries safe clean pays billions killing terrorism countries specially third world,OAG
3391,kumar sambhav pak soliders didnt killed ur soliders put bullet chest happened done soliders something even animals cant dont know u think us atleast humansand way deeply inspired ur feelings victims aps school attack,NAG
3392,satyam bora please read whole article,CAG
3393,abid st news country wait punish pakistan badly,CAG
3394,ha ha means india terrorism support country india feed isis terrorist spreading violence peaceful world shame indian,OAG
3395,worst see non pakistanis giving laugh emoticon article shameful people even happens pak army disgraceful utterly cowardly act dont worry laughing morons week ended porki army corpses served hot soon,OAG
3396,wipro services revenue  rs   cr vs   cr qoq,NAG
3397,father indians netas cant politicize wait proof gang ask proof declare fake encounter,OAG
3398, residents area opposed location music night residential area religious institutions thats,CAG
3399,saif ali trying defame modiji #haters,CAG
3400,hi soniya special news announcement jet airways stock going jet speed todays market,NAG
3401,launch veiled attack democratic party looks like,NAG
3402,response response fucing respose r listening n listening waiting badly response long long time coward indians,NAG
3403,deal anyone opinion think free one doesnt suit play bheema thats,CAG
3404,working good bjp rescue stuck aap congress party,NAG
3405,see dumbheads supporting demonetisation modiare accepting failure govt,OAG
3406,rate cut v usually see realty stocks rally reaction thod counters bite,NAG
3407,good move reduce interest cost goverment borrowingprevious goverment past borrowed much money past meet epentiture central state goverment used present deficit budget goverment best improve financesthis help containing inflation money developmentbanks reduce borrowing rates home personal loan demands pick resulting employment,CAG
3408,old news way dont c directly land beijing hitting around bush luck favors brave,CAG
3409,one thing wonder former rm lalu ji many graduated rm one show profit railways management eventhough illiterateshame graduated rmyour education didnt outperform illiterate,CAG
3410,ready welcome nifty  ,NAG
3411,bjp creates audiences media agencies hes dancing tunes bjp bcz aap eposed bjps evm fraud,CAG
3412,u trolled correct sure another kanhaiya kumar making doesnt problem anti nationals like umar khalid,CAG
3413,anuj reason bhel move   levels chance us book profits,NAG
3414,however defence got good salary hikes pay commission,NAG
3415,first baloch peoples must allowed project india already involved project pok nothing integrated part india,NAG
3416,fraud fake goverment work media,OAG
3417,well said saurabhmr ali far know mr manmohan singh educated man gave country basket full curruption scandalsunlike present pm hardly educated still like guys like e pm congress party bro cant help,CAG
3418,bjp wins mcd comes change mcd please give ur vote see ten years work bjp mcd u think work mcd party come give one chance aap mcd,NAG
3419,hi sonia u new notes  rs,NAG
3420,wow looking someone clearly knows nothing jews look jeremy mason guy #antisemitealert #ignorant,OAG
3421,still wrong choice read bheema stands seven half feet ground si pack aging actor cant made bheema know hard core mohanlal fan sometimes need check fact mahabharata doesnt mentioned pot bellied bheema either,OAG
3422,akhilesh already contact congress jdu alliance polls,NAG
3423,great effort poor people need money daily basis cards online access please net time someone give chair person standing long time country,CAG
3424,cnbc said earlier one asias powerfull women,NAG
3425,company held responsible pay loss peoples privacy,NAG
3426,hahaha surgical strike pakistan army meters inside disputed territory ur  hundred thousand randian army hahahaha even cant protect border,CAG
3427,cows stolen ndtvepect people bow raskelsmean minded tv channel alwayssay cow rakshak allvillagers take part tv channel still want toblamendtv one fashion working blamehindus modi hindu,NAG
3428,hp electric power ipo give good retuen want know ur views,NAG
